season,team,off_plays,off_epa_sum,off_epa_mean,def_plays,def_epa_mean
2021,NYJ,1356,-99.861984,-0.073644534,1468,0.09402134
2021,PHI,1463,46.226986,0.031597394,1492,-0.003122393
2021,PIT,1545,-95.54829,-0.06184355,1557,-0.013716762
2021,SEA,1267,20.990484,0.016567076,1536,-0.004009548
2021,SF,1570,47.887993,0.030501906,1620,-0.021816004
2021,TB,1636,103.99862,0.06356884,1604,-0.060304213
2021,TEN,1529,-6.0695343,-0.00396961,1454,-0.044790104
2021,WAS,1393,-55.46827,-0.03981929,1368,0.04392373
2022,ARI,1478,-133.25948,-0.090162024,1393,-0.0014895602
2022,ATL,1312,-2.9710152,-0.0022644934,1382,0.019297866
2022,BAL,1430,10.020233,0.007007156,1418,-0.026945291
2022,BUF,1492,100.59846,0.067425236,1488,-0.04938713
2022,CAR,1298,-45.743145,-0.035241254,1445,-0.015262743
2022,CHI,1299,-57.096725,-0.04395437,1339,0.07391015
2022,CIN,1603,75.293976,0.046970665,1535,-0.043412004
2022,CLE,1429,-7.3263154,-0.005126883,1359,0.009145087
2022,DAL,1594,39.866634,0.025010435,1624,-0.07504437
2022,DEN,1429,-115.805176,-0.08103931,1424,-0.017907022
2022,DET,1411,67.354904,0.04773558,1399,0.031425226
2022,GB,1343,-7.228571,-0.0053824056,1290,-0.0016289597
2022,HOU,1332,-174.0393,-0.13066015,1462,-0.019085594
2022,IND,1417,-198.97484,-0.14041978,1407,-0.03386584
2022,JAX,1546,48.164703,0.0311544,1592,-0.006351797
2022,KC,1642,203.25694,0.1237862,1673,0.018357044
2022,LA,1301,-99.37011,-0.07637979,1341,-0.0025640705
2022,LAC,1567,-22.962788,-0.014653981,1396,-0.017086407
2022,LV,1374,-1.5431893,-0.0011231363,1392,0.015743637
2022,MIA,1415,10.88363,0.007691611,1514,0.0016046783
2022,MIN,1553,-12.338266,-0.007944794,1521,0.01618654
2022,NE,1323,-95.810425,-0.07241907,1416,-0.08886429
2022,NO,1325,-74.0555,-0.05589094,1402,-0.037923243
2022,NYG,1572,43.482227,0.02766045,1570,0.054253455
2022,NYJ,1395,-123.64941,-0.08863757,1400,-0.061792456
2022,PHI,1708,118.69083,0.06949112,1586,-0.056918647
2022,PIT,1429,-24.468142,-0.017122563,1322,0.0120673105
2022,SEA,1465,26.988602,0.018422253,1521,0.022581493
2022,SF,1578,64.97519,0.04117566,1588,-0.08923323
2022,TB,1587,-87.62395,-0.055213578,1481,-0.006099804
2022,TEN,1315,-86.99861,-0.06615864,1437,-0.009191814
2022,WAS,1465,-79.63083,-0.054355513,1310,-0.041130114
2023,ARI,1403,-60.339794,-0.043007694,1363,0.062281232
2023,ATL,1415,-123.02435,-0.08694301,1415,-0.04381224
2023,BAL,1557,73.771164,0.047380324,1619,-0.109907635
2023,BUF,1586,99.733864,0.0628839,1492,-0.044337075
2023,CAR,1428,-186.55086,-0.13063785,1310,0.01565691
2023,CHI,1409,-84.93585,-0.060280945,1337,-0.05616491
2023,CIN,1372,-7.2443256,-0.0052801208,1359,0.008811697
2023,CLE,1612,-173.43823,-0.10759196,1464,-0.12647294
2023,DAL,1544,140.13023,0.09075792,1426,-0.053776167
2023,DEN,1354,-61.110428,-0.045133255,1398,0.004629748
2023,DET,1692,55.837944,0.033001147,1602,-0.010472353
2023,GB,1515,72.28619,0.047713656,1561,0.0055466243
2023,HOU,1551,-30.480078,-0.019651888,1585,-0.040110372
2023,IND,1440,-53.620415,-0.0372364,1484,-0.01606767
2023,JAX,1440,-42.4213,-0.029459236,1386,-0.038773455
2023,KC,1721,24.157928,0.014037146,1682,-0.06432423
2023,LA,1489,12.8089075,0.008602356,1479,-0.015039502
2023,LAC,1425,-80.08428,-0.056199495,1422,-0.015585336
2023,LV,1305,-100.60093,-0.07708883,1389,-0.067303605
2023,MIA,1446,80.58482,0.05572948,1475,-0.014537528
2023,MIN,1381,-66.41225,-0.04808997,1404,-0.03264311
2023,NE,1324,-250.68614,-0.18933998,1409,-0.0655463
2023,NO,1440,-64.744125,-0.0449612,1391,-0.109492734
2023,NYG,1389,-208.75677,-0.15029286,1393,-0.03167717
2023,NYJ,1404,-258.80228,-0.1843321,1422,-0.10719497
2023,PHI,1496,64.4304,0.043068446,1518,0.04979716
2023,PIT,1416,-109.51508,-0.07734116,1482,-0.04950019
2023,SEA,1329,21.166384,0.01592655,1472,0.04019476
2023,SF,1589,187.1319,0.11776708,1613,-0.02317373
