season,week,game_id,home_gameday,home_home_team,home_away_team,home_home_score,home_away_score,home_home_win,home_total_points,home_team,home_opp_team,home_is_home,home_rest_days,home_points_for,home_points_against,home_team_win,home_off_plays,home_off_epa_sum,home_off_epa_mean,home_def_plays,home_def_epa_sum,home_def_epa_mean,home_rolling_off_epa_3,home_rolling_def_epa_3,home_net_epa_mean,home_rolling_net_epa_3,away_gameday,away_home_team,away_away_team,away_home_score,away_away_score,away_home_win,away_total_points,away_team,away_opp_team,away_is_home,away_rest_days,away_points_for,away_points_against,away_team_win,away_off_plays,away_off_epa_sum,away_off_epa_mean,away_def_plays,away_def_epa_sum,away_def_epa_mean,away_rolling_off_epa_3,away_rolling_def_epa_3,away_net_epa_mean,away_rolling_net_epa_3,home_win,diff_rolling_off_epa_3,diff_rolling_def_epa_3,diff_rolling_net_epa_3,diff_rest_days,home_prev_cluster_name,away_prev_cluster_name,home_prev_off_epa_mean,home_prev_def_epa_mean,home_prev_win_pct,away_prev_off_epa_mean,away_prev_def_epa_mean,away_prev_win_pct,diff_prev_off_epa_mean,diff_prev_def_epa_mean,diff_prev_win_pct,segment_home_seg,home_dyn_cluster_name,segment_away_seg,away_dyn_cluster_name
2020,7,2020_07_SEA_ARI,2020-10-25,ARI,SEA,37.0,34.0,1,71.0,ARI,SEA,1,6.0,37.0,34.0,1,104.0,7.620344,0.07327254,103.0,-7.2883353,-0.07076054,0.1473446028927962,0.0403640940785408,0.14403307,0.10698051005601883,2020-10-25,ARI,SEA,37.0,34.0,1,71.0,SEA,ARI,0,14.0,34.0,37.0,0,103.0,7.2883353,0.07076054,104.0,-7.620344,-0.07327254,0.13048998018105826,-0.07565212498108546,0.14403307,0.20614210764567056,1,0.016854622711737932,0.11601621905962627,-0.09916159758965173,-8.0,Struggling,Balanced strong,-0.027989604,-0.042798936,0.3125,0.0072124484,-0.004511406,0.6666666666666666,-0.035202052,-0.03828753,-0.35416666666666663,G5-8,Balanced,G5-8,Balanced
2020,9,2020_09_MIA_ARI,2020-11-08,ARI,MIA,31.0,34.0,0,65.0,ARI,MIA,1,14.0,31.0,34.0,0,85.0,7.6910033,0.09048239,80.0,-13.161489,-0.16451861,0.15159785250822702,0.07188873489697774,0.255001,0.07970911512772243,2020-11-08,ARI,MIA,31.0,34.0,0,65.0,MIA,ARI,0,7.0,34.0,31.0,1,80.0,13.161489,0.16451861,85.0,-7.6910033,-0.09048239,-0.05890786647796631,0.2784641633431117,0.255001,-0.33737202485402423,0,0.21050571898619333,-0.20657542844613397,0.4170811399817467,7.0,Struggling,Struggling,-0.027989604,-0.042798936,0.3125,-0.08318715,-0.08769515,0.3125,0.055197544,0.044896215,0.0,G5-8,Balanced,G5-8,Offense-heavy
2020,10,2020_10_BUF_ARI,2020-11-15,ARI,BUF,32.0,30.0,1,62.0,ARI,BUF,1,7.0,32.0,30.0,1,92.0,3.3608975,0.036531497,97.0,-1.3117745,-0.013523448,0.13073167453209558,-0.02146038164695104,0.050054945,0.15219205617904663,2020-11-15,ARI,BUF,32.0,30.0,1,62.0,BUF,ARI,0,7.0,30.0,32.0,0,97.0,1.3117745,0.013523448,92.0,-3.3608975,-0.036531497,0.10370998891691367,-0.0011536131302515666,0.050054945,0.10486360390981038,1,0.02702168561518191,-0.02030676851669947,0.04732845226923625,0.0,Struggling,Defense-first,-0.027989604,-0.042798936,0.3125,-0.03698659,0.09863752,0.5882352941176471,0.008996986,-0.14143646,-0.2757352941176471,G9-12,Offense-heavy,G9-12,Balanced
2020,13,2020_13_LA_ARI,2020-12-06,ARI,LA,28.0,38.0,0,66.0,ARI,LA,1,7.0,28.0,38.0,0,82.0,-2.8758485,-0.035071325,99.0,-11.744963,-0.11863599,0.015551521132389704,-0.017884598424037296,0.08356467,0.033436122039953865,2020-12-06,ARI,LA,28.0,38.0,0,66.0,LA,ARI,0,7.0,38.0,28.0,1,99.0,11.744963,0.11863599,82.0,2.8758485,0.035071325,-0.12457792336742084,0.13605812440315881,0.08356467,-0.26063603659470874,0,0.14012944449981055,-0.15394272282719612,0.29407215863466263,0.0,Struggling,Balanced strong,-0.027989604,-0.042798936,0.3125,-0.020231372,0.04454822,0.5625,-0.007758232,-0.08734716,-0.25,G9-12,Balanced,G9-12,Offense-heavy
2020,15,2020_15_PHI_ARI,2020-12-20,ARI,PHI,33.0,26.0,1,59.0,ARI,PHI,1,7.0,33.0,26.0,1,91.0,0.18348068,0.0020162712,103.0,4.5059767,0.043747347,-0.03842915873974562,0.13188617179791132,-0.041731074,-0.17031532526016235,2020-12-20,ARI,PHI,33.0,26.0,1,59.0,PHI,ARI,0,7.0,26.0,33.0,0,103.0,-4.5059767,-0.043747347,91.0,-0.18348068,-0.0020162712,-0.050400739535689354,-0.04358419054187834,-0.041731074,-0.006816548605759938,1,0.011971580795943737,0.17547036233978966,-0.1634987766544024,0.0,Struggling,Balanced strong,-0.027989604,-0.042798936,0.3125,-0.0074831117,0.028278787,0.5294117647058824,-0.020506492,-0.07107772,-0.21691176470588236,G13+,Balanced,G13+,Struggling
2020,16,2020_16_SF_ARI,2020-12-26,ARI,SF,12.0,20.0,0,32.0,ARI,SF,1,6.0,12.0,20.0,0,98.0,-15.464448,-0.1578005,71.0,5.1248174,0.072180524,-0.014435211274152001,0.11379468565185864,-0.22998102,-0.128229891260465,2020-12-26,ARI,SF,12.0,20.0,0,32.0,SF,ARI,0,6.0,20.0,12.0,1,71.0,-5.1248174,-0.072180524,98.0,15.464448,0.1578005,-0.06502157573898633,-0.031070704261461895,-0.22998102,-0.03395088016986847,0,0.050586364464834326,0.14486538991332054,-0.09427901109059653,0.0,Struggling,Balanced strong,-0.027989604,-0.042798936,0.3125,0.057837136,0.112645924,0.7894736842105263,-0.08582674,-0.15544486,-0.4769736842105263,G13+,Offense-heavy,G13+,Offense-heavy
2021,2,2021_02_MIN_ARI,2021-09-19,ARI,MIN,34.0,33.0,1,67.0,ARI,MIN,1,7.0,34.0,33.0,1,81.0,6.8242064,0.08424946,83.0,-8.512029,-0.10255456,-0.14672360817591348,0.1758532921473185,0.18680403,-0.32257690529028576,2021-09-19,ARI,MIN,34.0,33.0,1,67.0,MIN,ARI,0,7.0,33.0,34.0,0,83.0,8.512029,0.10255456,81.0,-6.8242064,-0.08424946,0.10586779564619064,-0.1803713577489058,0.18680403,0.2862391558786233,1,-0.2525914038221041,0.3562246498962243,-0.6088160611689091,0.0,Balanced strong,Struggling,0.013118736,0.028053697,0.5,0.03407859,-0.0761836,0.4375,-0.020959854,0.1042373,0.0625,G1-4,Offense-heavy,G1-4,Balanced
2021,5,2021_05_SF_ARI,2021-10-10,ARI,SF,17.0,10.0,1,27.0,ARI,SF,1,7.0,17.0,10.0,1,74.0,-4.5420156,-0.061378587,76.0,11.56625,0.1521875,0.11364036425948143,0.03489818051457405,-0.21356608,0.07874218622843425,2021-10-10,ARI,SF,17.0,10.0,1,27.0,SF,ARI,0,7.0,10.0,17.0,0,76.0,-11.56625,-0.1521875,74.0,4.5420156,0.061378587,0.04175185412168503,-0.07407531375065446,-0.21356608,0.11582716802755992,1,0.0718885101377964,0.10897349426522851,-0.03708498179912567,0.0,Balanced strong,Struggling,0.013118736,0.028053697,0.5,-0.0060384795,0.0016371435,0.375,0.019157216,0.026416553,0.125,G5-8,Offense-heavy,G5-8,Balanced
2021,7,2021_07_HOU_ARI,2021-10-24,ARI,HOU,31.0,5.0,1,36.0,ARI,HOU,1,7.0,31.0,5.0,1,85.0,2.0926747,0.024619702,73.0,27.342405,0.3745535,0.11079861596226692,0.13598256185650826,-0.3499338,-0.025183945894241333,2021-10-24,ARI,HOU,31.0,5.0,1,36.0,HOU,ARI,0,7.0,5.0,31.0,0,73.0,-27.342405,-0.3745535,85.0,-2.0926747,-0.024619702,-0.2826414584026982,-0.11675319323937099,-0.3499338,-0.1658882573246956,1,0.39344007436496514,0.25273575509587926,0.14070431143045425,0.0,Balanced strong,Offense-driven,0.013118736,0.028053697,0.5,0.048252188,-0.11353753,0.25,-0.03513345,0.14159122,0.25,G5-8,Offense-heavy,G5-8,Struggling
2021,8,2021_08_GB_ARI,2021-10-28,ARI,GB,21.0,24.0,0,45.0,ARI,GB,1,4.0,21.0,24.0,0,71.0,4.5368247,0.063898936,88.0,-10.920851,-0.12410057,0.046235427260398865,0.25037536521752674,0.18799952,-0.2041399379571279,2021-10-28,ARI,GB,21.0,24.0,0,45.0,GB,ARI,0,4.0,24.0,21.0,1,88.0,10.920851,0.12410057,71.0,-4.5368247,-0.063898936,0.09603737605114777,0.06090962576369444,0.18799952,0.035127751529216766,0,-0.04980194879074891,0.1894657394538323,-0.23926768948634466,0.0,Balanced strong,Offense-driven,0.013118736,0.028053697,0.5,0.1506148,-0.034893665,0.7777777777777778,-0.13749605,0.06294736,-0.2777777777777778,G5-8,Offense-heavy,G5-8,Offense-heavy
