season,team,segment,seg_games,seg_off_roll3_mean,seg_def_roll3_mean,seg_net_roll3_mean,cluster_id,cluster_name
2019,ARI,G1-4,4,-0.028575563803315163,0.08206073097729434,-0.11063628954192002,2,Cluster_2
2019,ARI,G13+,4,-0.09226569067686796,0.005483476134637989,-0.09774916743238768,2,Cluster_2
2019,ARI,G5-8,4,-0.0024199122563004494,0.10447094930956762,-0.10689085721969604,2,Cluster_2
2019,ARI,G9-12,4,-0.0209442584309727,0.05552931812902291,-0.07647357446451981,2,Cluster_2
2019,ATL,G1-4,4,0.00029263397057851154,0.06312489757935207,-0.06283226360877354,2,Cluster_2
2019,ATL,G13+,4,-0.005109311081469059,-0.07413210285206635,0.06902279208103816,1,Cluster_1
2019,ATL,G5-8,4,0.03696067755421003,0.18628289985160035,-0.14932222105562687,2,Cluster_2
2019,ATL,G9-12,4,-0.012353173612306517,-0.03684273610512415,0.02448956357936064,1,Cluster_1
2019,BAL,G1-4,4,0.244146844993035,0.027220242967208225,0.2169266069928805,0,Cluster_0
2019,BAL,G13+,5,0.1223315457503001,-0.11063496681551137,0.23296650797128676,1,Cluster_1
2019,BAL,G5-8,4,0.04972289094196943,0.071000709819297,-0.021277819449702896,0,Cluster_0
2019,BAL,G9-12,4,0.22614202462136745,-0.15175586845725775,0.3778978871802489,1,Cluster_1
2019,BUF,G1-4,4,-0.021892088154951733,-0.12039464960495631,0.09850256393353145,1,Cluster_1
2019,BUF,G13+,5,-0.04011467782159646,-0.12483825733264287,0.08472357988357544,1,Cluster_1
2019,BUF,G5-8,4,-0.08051900379359722,-0.12869678406665722,0.04817778244614601,1,Cluster_1
2019,BUF,G9-12,4,0.04147956714344521,-0.044159219445039824,0.08563878977050385,1,Cluster_1
2019,CAR,G1-4,4,-0.022710782786210377,-0.05628425317505995,0.03357346604267756,1,Cluster_1
2019,CAR,G13+,4,-0.08575688178340594,0.10309830121695995,-0.18885518113772076,2,Cluster_2
2019,CAR,G5-8,4,-0.01081393224497636,-0.07031212494863817,0.059498190879821784,1,Cluster_1
2019,CAR,G9-12,4,-0.09505066523949304,0.03885416158785422,-0.13390482527514297,2,Cluster_2
2019,CHI,G1-4,4,-0.043670179322361946,-0.11159374192357063,0.06792356570561726,1,Cluster_1
2019,CHI,G13+,4,-0.050405128548542656,-0.06351292350639899,0.01310779588917891,1,Cluster_1
2019,CHI,G5-8,4,-0.025421662062096097,-0.07684295283009608,0.05142129212617874,1,Cluster_1
2019,CHI,G9-12,4,-0.14640186416606107,-0.11016654756773885,-0.03623531572520733,2,Cluster_2
2019,CIN,G1-4,4,-0.08782205730676651,0.04321546107530594,-0.13103751838207245,2,Cluster_2
2019,CIN,G13+,4,-0.083187134519297,-0.027024769534667335,-0.05616236229737599,2,Cluster_2
2019,CIN,G5-8,4,-0.08497636082271734,0.0667415855374808,-0.15171794407069683,2,Cluster_2
2019,CIN,G9-12,4,-0.12140691311409076,0.14956019283272326,-0.27096710602442425,2,Cluster_2
2019,CLE,G1-4,4,-0.1413053423166275,-0.04891237403595975,-0.09239296615123749,2,Cluster_2
2019,CLE,G13+,4,0.01747819106094539,0.012093931669369347,0.005384260788559914,0,Cluster_0
2019,CLE,G5-8,4,-0.07479945477098227,-7.796744709291214e-05,-0.0747214878598849,2,Cluster_2
2019,CLE,G9-12,4,-0.041361666459124535,-0.05925000451194744,0.01788833737373352,1,Cluster_1
2019,DAL,G1-4,4,0.1887779509027799,-0.035335066417853035,0.2241130123535792,0,Cluster_0
2019,DAL,G13+,4,-0.0068839360028505325,0.018096821137684554,-0.024980761110782627,0,Cluster_0
2019,DAL,G5-8,4,0.0013006627559661865,-0.03951357677578926,0.04081423828999202,1,Cluster_1
2019,DAL,G9-12,4,0.07544842020918925,-0.048357266311844185,0.12380568621059258,1,Cluster_1
2019,DEN,G1-4,4,0.0175340436398983,0.119862945129474,-0.1023289014895757,2,Cluster_2
2019,DEN,G13+,4,-0.018748755411555372,-0.0020356274520357447,-0.016713126096874475,0,Cluster_0
2019,DEN,G5-8,4,-0.08032315503805876,-0.07813017543715735,-0.002192980299393337,1,Cluster_1
2019,DEN,G9-12,4,-0.1034457084412376,-0.05079561210004613,-0.05265009589493275,2,Cluster_2
2019,DET,G1-4,4,-0.024380535857441526,-0.06321538301805656,0.03883484564721584,1,Cluster_1
2019,DET,G13+,4,-0.13079280902942023,0.006817137822508811,-0.1376099462310473,2,Cluster_2
2019,DET,G5-8,4,0.03534291542988891,0.043510671239346266,-0.00816775703181823,0,Cluster_0
2019,DET,G9-12,4,0.0033158563310280477,0.05087178759276867,-0.04755593091249466,0,Cluster_0
2019,GB,G1-4,4,-0.07115850721796353,-0.17000038425127664,0.09884187579154968,1,Cluster_1
2019,GB,G13+,6,-0.02023527171048853,-0.11136159507764709,0.09112632398804028,1,Cluster_1
