round,match_no,home_team,away_team,predicted_90min_result,prob_home_win,prob_draw_90min,prob_away_win,pred_home_goals,pred_away_goals,pred_home_score,pred_away_score,winner
R32,1,Senegal,Norway,home_win,0.6168988296521785,0.26932768482385167,0.11377348552396994,1.7969558294016508,1.8602500949343044,3,2,Senegal
R32,2,Japan,Turkey,draw,0.38791198044277725,0.5359358788310786,0.07615214072614401,1.4098379895961164,1.4354454151799356,2,1,Japan
R32,3,England,Bosnia and Herzegovina,home_win,0.5402206403766326,0.4149962874124992,0.04478307221086816,2.571475332459079,0.7676434919476216,3,1,England
R32,4,Iran,South Korea,draw,0.2551966948545521,0.48750906950594,0.2572942356395079,0.8611806423424067,1.5425686887931476,1,2,South Korea
R32,5,Morocco,Algeria,draw,0.446572580587092,0.5092674749974605,0.0441599444154475,1.8128306492412523,0.9847499453877155,2,1,Morocco
R32,6,Austria,Egypt,draw,0.291533882933215,0.41570910729376975,0.2927570097730152,2.1076933676202256,0.4929886863938722,2,0,Austria
R32,7,Ecuador,Ivory Coast,draw,0.23146451357603046,0.6325048751913157,0.1360306112326539,1.5264849137647123,1.6212529359615262,3,2,Ecuador
R32,8,Spain,Colombia,away_win,0.10794119910715852,0.3537567524604716,0.53830204843237,1.7315432471295462,1.3823666795164478,2,1,Spain
R32,9,Mexico,Australia,draw,0.32513126232875617,0.5093458573652262,0.16552288030601767,1.5428951268266802,0.3786140834856005,2,0,Mexico
R32,10,Uzbekistan,Netherlands,away_win,0.002778330069485573,0.010137317013481218,0.9870843529170332,0.7993879747703275,2.269866938072822,1,2,Netherlands
R32,11,Canada,Belgium,away_win,0.028706217072545125,0.21277609086030777,0.7585176920671471,0.7647719742131506,2.018887110166521,1,2,Belgium
R32,12,United States,Czech Republic,away_win,0.14495510566175873,0.3034405909407697,0.5516043033974716,1.2086808387833927,1.202097918049156,1,2,Czech Republic
R32,13,Uruguay,Switzerland,away_win,0.10234985116242165,0.21424540696451333,0.683404741873065,1.3596263284788823,1.1384192186353947,1,2,Switzerland
R32,14,France,Argentina,away_win,0.035334089332951193,0.17519482009401427,0.7894710905730346,1.250759005156064,1.998974895474895,1,2,Argentina
R32,15,Portugal,Germany,away_win,0.006872401041831986,0.11496917321727408,0.8781584257408939,1.328446000364731,2.388286716007306,1,2,Germany
R32,16,Brazil,Croatia,home_win,0.46202268858284157,0.2806950612249022,0.25728225019225626,1.4162833673034916,1.2581598426656477,2,1,Brazil
R16,1,Senegal,Japan,away_win,0.28794785760008207,0.25282372302350875,0.45922841937640907,1.7113764367677406,1.133586935095063,2,1,Senegal
R16,2,England,South Korea,away_win,0.3732794299244758,0.1674661122062416,0.45925445786928254,1.7873784394426806,0.9703507506139079,2,1,England
R16,3,Morocco,Austria,draw,0.336558844319243,0.3709480651354966,0.2924930905452605,1.5805406965039315,1.2419473886966137,2,1,Morocco
R16,4,Ecuador,Spain,away_win,0.12878476612007786,0.15178671113534792,0.7194285227445741,1.1123340980914511,2.767232300565506,1,3,Spain
R16,5,Mexico,Netherlands,away_win,0.11495296809818839,0.07034335607228115,0.8147036758295306,1.3511245770433589,2.0952246162420294,1,2,Netherlands
R16,6,Belgium,Czech Republic,draw,0.1595233315653967,0.7390500705570175,0.1014265978775858,1.3879121701884864,0.9555975693266716,2,1,Belgium
R16,7,Switzerland,Argentina,away_win,0.035496012498808,0.20981741273769453,0.7546865747634974,1.2368090678384795,2.10627191347238,1,2,Argentina
R16,8,Germany,Brazil,draw,0.10015916617538527,0.4981478748765818,0.401692958948033,1.7004488514724583,1.9894471323883074,2,3,Brazil
QF,1,Senegal,England,away_win,0.23934416015426815,0.17300755495717773,0.5876482848885541,1.0779648243912947,2.3239683875492694,1,2,England
QF,2,Morocco,Spain,home_win,0.4177929493634726,0.23986994566262637,0.3423371049739009,1.131289354164354,2.3496946645259347,1,2,Spain
QF,3,Netherlands,Belgium,away_win,0.02244101235169095,0.2369408715654046,0.7406181160829045,1.3022370256162823,1.934301818823877,1,2,Belgium
QF,4,Argentina,Brazil,home_win,0.5718813963998736,0.2859568091515514,0.14216179444857502,1.9373241510095223,1.9874673718953901,3,2,Argentina
SF,1,England,Spain,away_win,0.1612090185563576,0.09926929098480253,0.7395216904588398,1.3938754186989475,2.071239407092734,1,2,Spain
SF,2,Belgium,Argentina,draw,0.037124940882022714,0.5766817643633431,0.3861932947546342,1.1970324824957181,1.9348928195414257,1,2,Argentina
Final,1,Spain,Argentina,away_win,0.028331960973874158,0.23307348599808203,0.7385945530280438,1.5148351722953104,1.9332759281625367,2,3,Argentina
