stats_source,stats_complete,parsed_stat_count,match_id,match_url,team_side,team_name,opponent_side,opponent_name,attacking__possession,attacking__possession__in_contest,attacking__goal__total,attacking__goal__conceded,attacking__goal__inside_the_penalty_area,attacking__goal__outside_the_penalty_area,attacking__goal__assists,attacking__attempts_at_goal__total,attacking__attempts_at_goal__on_target,attacking__attempts_at_goal__off_target,attacking__attempts_at_goal__inside_the_penalty_area,attacking__attempts_at_goal__outside_the_penalty_area,attacking__final_third_entries__left_channel,attacking__final_third_entries__left_inside_channel,attacking__final_third_entries__central_channel,attacking__final_third_entries__right_inside_channel,attacking__final_third_entries__right_channel,attacking__offers_to_receive__total,attacking__offers_to_receive__in_behind,attacking__offers_to_receive__in_between,attacking__offers_to_receive__in_front,attacking__offers_to_receive__receptions_between_midfield_and_defensive_lines,attacking__offers_to_receive__receptions_behind_the_defensive_line,attacking__line_breaks__attempted_line_breaks,attacking__line_breaks__completed_line_breaks,attacking__line_breaks__attempted_defensive_line_breaks,attacking__line_breaks__completed_defensive_line_breaks,attacking__discipline__yellow_cards,attacking__discipline__red_cards,attacking__discipline__fouls_against,attacking__discipline__offsides,attacking__distribution__passes,attacking__distribution__passes_completed,attacking__distribution__crosses,attacking__distribution__crosses_completed,attacking__distribution__switches_of_play_completed,attacking__set_plays__corners,attacking__set_plays__free_kicks,attacking__set_plays__penalties_scored,defending__own_goals,defending__forced_turnovers,defending__pressing_applied
FIFA Official Stats,True,41,400021460,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021460,away,Paraguay,home,Türkiye,19%,14% in contest,1,0,0,1,1,7,2,2,3,4,7,5,5,2,8,97,32,51,14,66,4,119,57,12,3,1,1,15,3,171,92,9,2,1,0,16,0,0,50,367
FIFA Official Stats,True,41,400021472,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021472,home,Netherlands,away,Sweden,48%,9% in contest,5,1,4,1,5,10,7,2,6,4,19,5,8,12,12,314,133,102,79,79,15,163,120,20,14,0,0,9,3,447,398,19,4,3,2,15,0,0,47,232
FIFA Official Stats,True,41,400021472,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021472,away,Sweden,home,Netherlands,43%,9% in contest,1,5,1,0,1,16,8,5,8,8,8,5,13,8,15,333,92,149,92,108,12,168,110,17,12,3,0,12,3,438,377,23,3,2,5,12,0,0,37,228
FIFA Official Stats,True,41,400021469,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021469,home,Germany,away,Côte d'Ivoire,49%,10% in contest,2,1,2,0,2,16,7,7,9,7,28,10,6,4,28,328,102,108,118,136,12,190,151,22,13,0,0,5,0,634,578,20,4,4,8,8,0,0,47,293
FIFA Official Stats,True,41,400021469,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021469,away,Côte d'Ivoire,home,Germany,41%,10% in contest,1,2,1,0,0,9,2,2,5,4,20,2,3,9,11,263,69,121,73,91,9,157,111,12,9,0,0,7,1,449,387,12,4,2,3,5,0,0,43,316
FIFA Official Stats,True,41,400021465,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021465,home,Ecuador,away,Curaçao,65%,12% in contest,0,0,0,0,0,27,15,9,20,7,36,9,12,8,23,474,113,201,160,149,19,208,152,31,19,1,0,7,1,663,601,33,12,1,9,12,0,0,43,155
FIFA Official Stats,True,41,400021465,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021465,away,Curaçao,home,Ecuador,23%,12% in contest,0,0,0,0,0,10,3,5,4,6,7,5,4,5,6,153,48,70,35,72,2,140,63,9,1,5,0,10,2,237,167,1,0,1,0,8,0,0,35,345
FIFA Official Stats,True,41,400021475,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021475,home,Tunisia,away,Japan,36%,9% in contest,0,4,0,0,0,2,0,1,1,1,14,1,7,4,8,320,74,132,114,46,8,142,73,13,6,0,0,8,1,376,305,9,1,3,3,16,0,0,34,233
FIFA Official Stats,True,41,400021475,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021475,away,Japan,home,Tunisia,55%,9% in contest,4,0,3,1,4,10,4,4,5,5,17,2,10,6,35,510,123,168,219,84,10,145,103,16,10,0,0,15,1,593,535,12,3,0,5,9,0,0,35,219
FIFA Official Stats,True,41,400021483,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021483,home,Spain,away,Saudi Arabia,63%,9% in contest,4,0,3,0,3,22,8,12,13,9,31,14,7,10,19,545,190,167,188,174,20,234,188,27,18,0,0,10,2,743,688,28,7,9,6,5,0,0,44,214
FIFA Official Stats,True,41,400021483,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021483,away,Saudi Arabia,home,Spain,29%,9% in contest,0,4,0,0,0,3,2,1,0,3,9,3,1,2,14,243,64,108,71,80,6,152,90,18,7,2,0,2,3,389,309,4,0,3,1,12,0,1,42,413
FIFA Official Stats,True,41,400021477,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021477,home,Belgium,away,IR Iran,59%,11% in contest,0,0,0,0,0,23,7,9,18,5,30,15,10,9,24,512,178,154,180,136,11,207,139,23,11,1,1,7,3,637,562,35,8,4,4,13,0,0,45,121
FIFA Official Stats,True,41,400021477,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021477,away,IR Iran,home,Belgium,30%,11% in contest,0,0,0,0,0,7,3,3,6,1,9,4,4,3,4,170,64,46,60,62,4,126,42,13,3,1,0,9,4,275,201,11,2,2,2,10,0,0,43,343
FIFA Official Stats,True,41,400021487,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021487,home,Uruguay,away,Cabo Verde,54%,13% in contest,2,2,2,0,1,17,2,13,9,8,22,15,14,12,21,381,150,110,121,99,16,169,112,28,16,2,0,11,3,517,444,27,5,6,11,4,0,0,41,198
FIFA Official Stats,True,41,400021487,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021487,away,Cabo Verde,home,Uruguay,33%,13% in contest,2,2,0,2,0,12,4,3,3,9,13,5,6,2,4,255,56,108,91,55,2,147,71,10,2,2,0,4,0,293,218,8,2,2,4,13,0,0,46,233
FIFA Official Stats,True,41,400021480,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021480,home,New Zealand,away,Egypt,39%,11% in contest,1,3,1,0,1,11,5,2,6,5,18,6,7,2,15,353,92,167,94,92,6,183,104,22,4,2,0,14,3,437,355,13,4,2,4,8,0,0,39,289
FIFA Official Stats,True,41,400021480,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021480,away,Egypt,home,New Zealand,50%,11% in contest,3,1,3,0,3,19,7,8,12,7,22,11,7,8,25,423,97,150,176,125,10,195,126,23,9,1,0,8,0,544,486,20,6,15,3,17,0,0,51,249
FIFA Official Stats,True,41,400021494,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021494,home,Argentina,away,Austria,48%,9% in contest,2,0,2,0,1,12,5,4,10,2,17,9,9,2,13,336,83,134,119,93,7,138,99,13,6,2,0,13,2,564,509,6,2,3,1,12,0,0,41,229
FIFA Official Stats,True,41,400021494,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021494,away,Austria,home,Argentina,43%,9% in contest,0,2,0,0,0,6,1,4,4,2,21,10,11,6,11,311,92,116,103,97,13,163,105,24,13,2,0,13,0,475,416,18,3,3,3,15,0,0,31,299
FIFA Official Stats,True,41,400021492,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021492,home,France,away,Iraq,49%,7% in contest,3,0,2,1,3,19,5,10,12,7,30,8,7,7,23,362,100,107,155,130,18,184,143,28,21,0,0,8,1,604,553,19,2,2,4,4,0,0,42,257
FIFA Official Stats,True,41,400021492,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021492,away,Iraq,home,France,44%,7% in contest,0,3,0,0,0,4,0,3,3,1,10,4,2,3,8,482,142,200,140,64,6,171,101,14,6,1,0,4,0,502,431,10,4,4,2,9,0,0,37,304
FIFA Official Stats,True,41,400021491,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021491,home,Norway,away,Senegal,40%,9% in contest,3,2,3,0,2,13,7,3,11,2,6,3,7,7,20,306,64,149,93,100,7,134,76,15,5,0,0,13,0,361,295,11,4,0,5,9,0,0,32,224
FIFA Official Stats,True,41,400021491,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021491,away,Senegal,home,Norway,51%,9% in contest,2,3,2,0,2,16,4,7,10,6,27,6,9,4,14,352,114,106,132,108,10,162,116,21,12,0,0,5,4,504,447,23,9,11,4,13,0,0,36,233
FIFA Official Stats,True,41,400021499,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021499,home,Jordan,away,Algeria,27%,11% in contest,1,2,1,0,1,8,4,3,4,4,10,4,3,4,18,196,53,96,47,57,12,160,89,20,12,1,0,11,1,270,201,7,2,3,1,6,0,0,47,355
FIFA Official Stats,True,41,400021499,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021499,away,Algeria,home,Jordan,62%,11% in contest,2,1,2,0,1,17,8,5,12,5,27,9,10,11,34,468,147,177,144,112,20,179,118,31,19,1,0,6,0,661,590,20,4,6,10,12,0,0,55,199
FIFA Official Stats,True,41,400021503,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021503,home,Portugal,away,Uzbekistan,56%,10% in contest,5,0,3,1,2,17,9,5,12,5,24,10,11,13,20,438,132,181,125,136,18,214,158,32,19,1,0,14,2,639,577,24,7,2,3,17,0,0,37,197
FIFA Official Stats,True,41,400021503,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021503,away,Uzbekistan,home,Portugal,34%,10% in contest,0,5,0,0,0,7,2,3,4,3,3,6,7,5,13,282,61,137,84,80,4,137,70,13,3,1,0,15,2,347,278,8,0,1,2,16,0,1,49,338
FIFA Official Stats,True,41,400021506,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021506,home,England,away,Ghana,72%,8% in contest,0,0,0,0,0,19,3,12,14,5,31,5,11,8,30,489,119,173,197,91,14,172,127,23,16,1,0,14,2,652,605,32,8,6,9,26,0,0,25,105
FIFA Official Stats,True,41,400021506,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021506,away,Ghana,home,England,20%,8% in contest,0,0,0,0,0,2,0,0,2,0,6,1,0,2,7,94,40,21,33,36,8,106,52,14,6,1,0,24,2,179,128,5,0,4,2,16,0,0,31,298
FIFA Official Stats,True,41,400021511,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021511,home,Panama,away,Croatia,37%,11% in contest,0,1,0,0,0,8,1,4,6,2,19,5,3,7,20,274,75,107,92,93,13,168,99,16,10,1,0,19,1,356,282,27,6,5,7,14,0,0,44,269
FIFA Official Stats,True,41,400021511,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021511,away,Croatia,home,Panama,52%,11% in contest,1,0,1,0,1,6,2,4,4,2,15,7,4,4,20,341,141,82,118,83,15,162,96,28,16,1,0,12,2,518,445,18,4,4,2,20,0,0,47,236
FIFA Official Stats,True,41,400021501,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021501,home,Colombia,away,Congo DR,58%,11% in contest,1,0,1,0,1,20,9,6,11,9,24,5,10,5,10,453,136,176,141,98,14,167,121,20,10,2,0,12,7,548,475,14,2,15,5,16,0,0,40,155
FIFA Official Stats,True,41,400021501,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021501,away,Congo DR,home,Colombia,32%,11% in contest,0,1,0,0,0,7,1,4,3,4,13,0,8,1,6,268,63,139,66,58,4,138,63,13,6,1,0,16,0,315,236,13,4,2,4,19,0,0,40,300
FIFA Official Stats,True,41,400021451,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021451,home,Switzerland,away,Canada,48%,12% in contest,2,1,2,0,2,6,4,1,5,1,12,3,4,6,9,274,72,117,85,65,8,197,115,19,6,1,0,19,1,471,389,8,1,8,2,15,0,0,49,216
FIFA Official Stats,True,41,400021451,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021451,away,Canada,home,Switzerland,40%,12% in contest,1,2,1,0,1,13,7,6,11,2,19,9,8,8,19,248,92,86,70,91,8,165,102,16,7,2,0,13,3,353,275,26,8,8,7,20,0,0,50,299
FIFA Official Stats,True,41,400021448,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021448,home,Bosnia and Herzegovina,away,Qatar,48%,10% in contest,3,1,1,1,2,14,5,6,4,10,17,5,14,0,20,369,110,128,131,72,8,156,109,13,8,1,0,9,1,521,461,25,3,4,5,17,0,0,43,248
FIFA Official Stats,True,41,400021448,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021448,away,Qatar,home,Bosnia and Herzegovina,42%,10% in contest,1,3,1,0,1,9,3,6,5,4,16,3,6,8,9,333,83,149,101,73,14,209,113,38,14,1,0,14,3,457,388,18,8,6,5,10,0,1,42,264
FIFA Official Stats,True,41,400021455,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021455,home,Scotland,away,Brazil,42%,7% in contest,0,3,0,0,0,14,5,2,10,4,16,7,6,12,16,357,70,146,141,80,6,168,113,12,7,1,0,10,0,520,466,24,10,3,7,11,0,0,33,241
FIFA Official Stats,True,41,400021455,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021455,away,Brazil,home,Scotland,51%,7% in contest,3,0,3,0,3,21,9,7,14,7,25,10,11,10,18,383,88,146,149,98,12,165,122,18,9,2,0,11,1,615,571,13,4,0,6,10,0,0,28,227
FIFA Official Stats,True,41,400021452,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021452,home,Morocco,away,Haiti,60%,9% in contest,4,2,4,0,3,22,11,5,15,7,15,5,10,2,22,516,153,200,163,114,22,192,157,26,19,1,0,10,5,557,495,31,12,8,9,18,0,1,38,172
FIFA Official Stats,True,41,400021452,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021452,away,Haiti,home,Morocco,31%,9% in contest,2,4,0,1,1,9,2,3,4,5,9,5,6,3,3,165,37,85,43,54,1,117,65,10,3,2,0,18,0,265,212,3,2,1,1,15,0,0,50,331
FIFA Official Stats,True,41,400021444,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021444,home,Czechia,away,Mexico,44%,10% in contest,0,3,0,0,0,13,1,8,6,7,13,5,10,1,17,282,74,120,88,70,7,163,100,15,6,0,0,9,1,423,352,20,4,3,5,13,0,0,38,213
FIFA Official Stats,True,41,400021444,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021444,away,Mexico,home,Czechia,46%,10% in contest,3,0,3,0,3,11,5,4,9,2,11,3,11,3,15,444,109,199,136,95,6,142,85,14,5,1,0,13,0,394,340,14,2,4,1,10,0,0,35,233
FIFA Official Stats,True,41,400021445,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021445,home,South Africa,away,Korea Republic,30%,10% in contest,1,0,1,0,1,13,4,7,5,8,9,3,7,9,7,189,58,88,43,74,3,154,83,12,2,1,0,7,3,345,279,7,1,5,4,9,0,0,40,321
FIFA Official Stats,True,41,400021445,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021445,away,Korea Republic,home,South Africa,60%,10% in contest,0,1,0,0,0,8,3,3,5,3,33,5,8,7,29,434,99,178,157,105,16,184,145,24,20,1,0,9,0,718,657,39,8,9,6,10,0,0,28,199
FIFA Official Stats,True,41,400021468,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021468,home,Curaçao,away,Côte d'Ivoire,37%,8% in contest,0,2,0,0,0,11,2,8,6,5,13,7,6,5,7,227,58,116,53,79,9,136,93,16,9,2,0,11,2,369,312,15,4,2,4,7,0,0,43,299
FIFA Official Stats,True,41,400021468,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021468,away,Côte d'Ivoire,home,Curaçao,55%,8% in contest,2,0,2,0,2,7,3,3,7,0,13,6,1,10,18,250,81,97,72,129,12,200,135,27,9,1,0,6,1,644,574,18,4,3,6,13,0,0,44,201
FIFA Official Stats,True,41,400021466,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021466,home,Ecuador,away,Germany,39%,10% in contest,2,1,1,1,2,7,3,3,5,2,19,8,6,3,17,252,56,85,111,85,8,147,78,23,7,3,0,15,0,389,325,14,4,2,3,10,0,0,49,299
FIFA Official Stats,True,41,400021466,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021466,away,Germany,home,Ecuador,51%,10% in contest,1,2,1,0,1,11,3,5,6,5,16,9,11,5,20,340,73,165,102,105,5,188,129,13,4,1,0,10,0,612,537,16,4,1,2,15,0,0,51,231
FIFA Official Stats,True,41,400021471,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021471,home,Japan,away,Sweden,44%,12% in contest,1,1,1,0,1,8,3,4,4,4,16,5,2,7,13,320,104,135,81,90,6,163,91,22,7,1,0,20,3,454,381,14,4,2,2,13,0,0,42,221
FIFA Official Stats,True,41,400021471,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021471,away,Sweden,home,Japan,44%,12% in contest,1,1,0,1,1,11,5,5,6,5,10,6,12,8,16,232,73,86,73,75,3,159,86,10,3,2,0,11,2,410,330,16,4,3,8,23,0,0,37,201
FIFA Official Stats,True,41,400021473,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021473,home,Tunisia,away,Netherlands,27%,9% in contest,1,3,1,0,1,10,4,5,3,7,4,3,6,3,12,318,116,124,78,69,5,110,65,11,4,0,0,11,2,265,208,13,4,4,4,11,0,1,34,346
FIFA Official Stats,True,41,400021473,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021473,away,Netherlands,home,Tunisia,64%,9% in contest,3,1,2,0,2,20,7,7,15,5,20,8,19,17,42,391,117,123,151,138,16,173,130,27,16,0,0,10,1,668,619,27,7,3,6,13,0,0,34,173
FIFA Official Stats,True,41,400021459,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021459,home,Türkiye,away,USA,42%,10% in contest,3,2,3,0,2,8,2,4,7,1,10,7,1,5,25,275,85,109,81,94,11,193,100,23,13,0,0,13,2,456,353,11,1,9,2,18,0,0,50,219
FIFA Official Stats,True,41,400021459,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021459,away,USA,home,Türkiye,48%,10% in contest,2,3,1,1,1,18,7,6,15,3,22,7,8,9,14,389,117,149,123,116,15,177,110,24,14,1,0,13,5,495,424,20,7,4,9,15,0,0,47,267
FIFA Official Stats,True,41,400021461,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021461,home,Paraguay,away,Australia,42%,12% in contest,0,0,0,0,0,7,2,4,3,4,18,6,3,4,10,233,58,67,108,29,3,142,60,10,3,1,0,9,0,418,345,7,0,4,1,6,0,0,51,284
FIFA Official Stats,True,41,400021461,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021461,away,Australia,home,Paraguay,46%,12% in contest,0,0,0,0,0,12,5,5,7,5,12,2,6,7,33,307,60,141,106,106,4,167,100,11,4,1,0,6,0,526,446,13,3,4,3,9,0,0,43,210
FIFA Official Stats,True,41,400021489,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021489,home,Norway,away,France,40%,9% in contest,1,4,1,0,1,10,5,4,6,4,11,6,9,6,7,366,93,164,109,104,4,136,82,10,4,1,0,9,1,448,366,9,2,5,4,12,0,0,38,297
FIFA Official Stats,True,41,400021489,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021489,away,France,home,Norway,51%,9% in contest,4,1,3,1,4,18,9,5,9,9,22,5,10,9,22,307,97,98,112,97,23,160,119,25,21,1,0,11,2,549,492,16,4,11,5,10,0,0,43,234
FIFA Official Stats,True,41,400021493,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021493,home,Senegal,away,Iraq,58%,13% in contest,5,0,3,2,5,27,11,11,14,13,28,10,15,10,21,364,123,124,117,133,16,153,120,28,17,2,0,10,1,585,523,29,7,3,12,11,0,0,38,162
FIFA Official Stats,True,41,400021493,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021493,away,Iraq,home,Senegal,30%,13% in contest,0,5,0,0,0,6,1,1,1,5,10,2,2,1,7,163,50,68,45,44,4,128,59,13,4,2,1,11,0,280,200,5,0,3,3,11,0,0,43,259
FIFA Official Stats,True,41,400021485,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021485,home,Cabo Verde,away,Saudi Arabia,47%,12% in contest,0,0,0,0,0,15,2,7,10,5,25,5,16,3,16,373,113,156,104,104,12,185,133,22,12,1,0,10,2,465,402,21,5,7,4,16,0,0,53,206
FIFA Official Stats,True,41,400021485,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021485,away,Saudi Arabia,home,Cabo Verde,41%,12% in contest,0,0,0,0,0,7,3,1,5,2,13,6,9,2,16,263,92,69,102,85,13,165,95,22,11,3,0,16,0,455,370,12,3,3,2,11,0,0,42,304
FIFA Official Stats,True,41,400021484,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021484,home,Uruguay,away,Spain,33%,11% in contest,0,1,0,0,0,5,1,3,2,3,18,7,2,6,10,263,100,115,48,91,14,164,94,25,15,3,1,14,5,305,241,18,1,6,1,16,0,0,53,390
FIFA Official Stats,True,41,400021484,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021484,away,Spain,home,Uruguay,57%,11% in contest,1,0,1,0,1,6,1,3,5,1,9,13,12,6,13,408,85,159,164,105,6,186,145,17,10,1,0,14,2,637,570,15,3,3,6,19,0,0,49,215
FIFA Official Stats,True,41,400021479,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021479,home,Egypt,away,IR Iran,53%,11% in contest,1,1,1,0,1,15,3,10,8,7,21,10,6,6,18,387,85,110,192,79,13,175,122,26,15,3,0,11,0,588,525,16,3,4,8,19,0,0,52,169
FIFA Official Stats,True,41,400021479,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021479,away,IR Iran,home,Egypt,36%,11% in contest,1,1,1,0,0,13,3,5,10,3,10,8,8,2,9,236,73,92,71,88,7,159,87,13,5,4,0,16,3,359,280,11,3,5,2,10,0,0,43,278
FIFA Official Stats,True,41,400021481,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021481,home,New Zealand,away,Belgium,40%,10% in contest,1,5,1,0,0,6,2,3,3,3,13,4,8,2,8,313,83,124,106,57,5,164,91,24,5,2,0,10,1,450,379,13,1,3,5,7,0,0,32,321
FIFA Official Stats,True,41,400021481,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021481,away,Belgium,home,New Zealand,50%,10% in contest,5,1,4,1,3,35,10,14,23,12,18,12,10,3,24,445,149,164,132,148,18,208,147,29,18,0,0,7,1,530,475,25,7,6,8,11,0,0,44,249
FIFA Official Stats,True,41,400021508,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021508,home,Panama,away,England,33%,11% in contest,0,2,0,0,0,13,2,8,8,5,10,3,3,4,13,191,69,77,45,70,6,171,93,19,5,2,0,16,4,306,231,10,3,3,3,17,0,0,55,283
FIFA Official Stats,True,41,400021508,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021508,away,England,home,Panama,57%,11% in contest,2,0,2,0,2,17,6,9,12,5,20,10,7,6,27,481,140,131,210,126,27,198,150,39,30,1,0,13,4,562,500,29,5,6,7,20,0,0,44,228
FIFA Official Stats,True,41,400021509,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021509,home,Croatia,away,Ghana,50%,7% in contest,2,1,1,1,2,8,4,2,3,5,21,1,9,2,13,317,78,123,116,71,4,149,94,14,8,1,0,9,1,538,487,15,2,6,3,15,0,0,32,189
FIFA Official Stats,True,41,400021509,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021509,away,Ghana,home,Croatia,43%,7% in contest,1,2,1,0,1,6,1,3,3,3,13,3,5,7,16,257,99,74,84,57,2,94,53,11,5,1,0,13,2,466,411,11,2,4,2,10,0,0,40,271
FIFA Official Stats,True,41,400021505,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021505,home,Colombia,away,Portugal,51%,8% in contest,0,0,0,0,0,24,7,10,15,9,27,4,8,6,16,394,116,169,109,132,14,184,139,17,13,1,0,12,3,547,491,16,6,6,5,8,0,0,36,218
FIFA Official Stats,True,41,400021505,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021505,away,Portugal,home,Colombia,41%,8% in contest,0,0,0,0,0,13,2,7,5,8,20,11,5,2,12,281,83,124,74,98,10,158,121,22,12,0,0,6,2,456,421,14,2,7,2,15,0,0,37,303
FIFA Official Stats,True,41,400021500,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021500,home,Congo DR,away,Uzbekistan,53%,11% in contest,3,1,2,1,1,19,5,12,11,8,32,11,3,6,16,404,128,170,106,105,9,191,121,19,6,3,0,6,3,495,419,25,7,6,2,16,1,0,54,191
FIFA Official Stats,True,41,400021500,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021500,away,Uzbekistan,home,Congo DR,36%,11% in contest,1,3,1,0,1,3,1,2,2,1,16,4,4,3,16,230,70,106,54,103,6,208,99,21,5,2,0,16,1,378,283,15,4,5,4,9,0,0,54,342
FIFA Official Stats,True,41,400021497,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021497,home,Algeria,away,Austria,60%,7% in contest,3,3,3,0,2,12,5,5,6,6,24,5,8,7,15,292,92,98,102,87,5,152,110,13,7,0,0,3,1,775,723,4,1,7,0,10,0,0,39,218
FIFA Official Stats,True,41,400021497,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021497,away,Austria,home,Algeria,33%,7% in contest,3,3,2,1,3,10,3,6,6,4,16,4,5,7,13,196,64,54,78,88,15,122,88,16,10,1,0,7,3,405,355,13,3,0,3,4,0,0,24,305
FIFA Official Stats,True,41,400021495,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021495,home,Jordan,away,Argentina,27%,6% in contest,1,3,1,0,1,5,1,2,2,3,15,3,4,0,8,250,65,110,75,50,10,129,74,21,11,3,0,13,1,300,239,9,4,0,2,10,0,0,37,471
FIFA Official Stats,True,41,400021495,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021495,away,Argentina,home,Jordan,67%,6% in contest,3,1,1,2,0,13,4,8,7,6,13,4,8,7,26,528,96,233,199,131,8,182,144,17,8,0,0,7,3,824,762,10,4,6,6,12,1,0,42,184
FIFA Official Stats,True,41,400021518,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021518,home,South Africa,away,Canada,55%,10% in contest,0,1,0,0,0,6,1,4,1,5,11,7,4,6,4,304,103,104,97,76,13,219,134,25,13,0,0,10,1,575,486,5,2,6,1,15,0,0,42,221
FIFA Official Stats,True,41,400021518,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021518,away,Canada,home,South Africa,35%,10% in contest,1,0,0,1,0,12,7,5,9,3,24,5,10,6,16,253,80,104,69,103,8,150,91,19,7,2,0,16,0,390,314,14,5,0,4,11,0,0,49,344
FIFA Official Stats,True,41,400021516,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021516,home,Brazil,away,Japan,61%,9% in contest,2,1,2,0,2,19,7,10,12,7,34,13,11,8,27,487,123,151,213,119,11,188,127,23,14,2,0,4,1,715,652,30,7,7,6,13,0,0,40,200
FIFA Official Stats,True,41,400021516,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021516,away,Japan,home,Brazil,30%,9% in contest,1,2,0,1,0,5,2,2,2,3,9,6,5,3,18,307,64,152,91,71,6,147,89,16,5,3,0,13,0,330,279,12,2,4,2,5,0,0,34,362
FIFA Official Stats,True,41,400021513,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021513,home,Germany,away,Paraguay,65%,12% in contest,1,1,1,0,1,21,6,7,11,10,32,11,12,4,64,478,141,177,160,157,11,233,179,18,10,2,0,18,4,834,752,52,9,2,16,13,0,0,45,164
