date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home,fotmob_match_id,fotmob_date_query,fotmob_league_id,fotmob_league,fotmob_home_team,fotmob_home_long,fotmob_home_score,fotmob_away_team,fotmob_away_long,fotmob_away_score,fotmob_status,fotmob_utc_time,match_score,match_reversed,fotmob_match_status
2023-03-23,Ghana,Angola,1,0,African Cup of Nations qualification,Kumasi,Ghana,False,home_win,1,3876850.0,20230324,878892.0,Africa Cup of Nations Qualification Grp. E,Ghana,Ghana,1.0,Angola,Angola,0.0,FT,2023-03-23T16:00:00.000Z,1.08,False,matched
2023-03-23,Algeria,Niger,2,1,African Cup of Nations qualification,Algiers,Algeria,False,home_win,1,3876858.0,20230324,878893.0,Africa Cup of Nations Qualification Grp. F,Algeria,Algeria,2.0,Niger,Niger,1.0,FT,2023-03-23T21:00:00.000Z,1.08,False,matched
2023-03-23,Italy,England,1,2,UEFA Euro qualification,Napoli,Italy,False,away_win,-1,4044678.0,20230324,881524.0,EURO Qualification Grp. C,Italy,Italy,1.0,England,England,2.0,FT,2023-03-23T19:45:00.000Z,1.08,False,matched
2023-03-23,Portugal,Liechtenstein,4,0,UEFA Euro qualification,Lisbon,Portugal,False,home_win,4,4044578.0,20230324,881531.0,EURO Qualification Grp. J,Portugal,Portugal,4.0,Liechtenstein,Liechtenstein,0.0,FT,2023-03-23T19:45:00.000Z,1.08,False,matched
2023-03-23,Bosnia and Herzegovina,Iceland,3,0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,home_win,3,4044579.0,20230324,881531.0,EURO Qualification Grp. J,Bosnia and Herzegovina,Bosnia and Herzegovina,3.0,Iceland,Iceland,0.0,FT,2023-03-23T19:45:00.000Z,1.08,False,matched
2023-03-23,Suriname,Mexico,0,2,CONCACAF Nations League,Paramaribo,Suriname,False,away_win,-2,3859898.0,20230324,878603.0,CONCACAF Nations League A Grp. 1,Suriname,Suriname,0.0,Mexico,Mexico,2.0,FT,2023-03-24T00:00:00.000Z,1.08,False,matched
2023-03-24,Australia,Ecuador,3,1,Friendly,Sydney,Australia,False,home_win,2,4132639.0,20230324,882729.0,Friendlies,Australia,Australia,3.0,Ecuador,Ecuador,1.0,FT,2023-03-24T09:10:00.000Z,1.08,False,matched
2023-03-24,Japan,Uruguay,1,1,Friendly,Tokyo,Japan,False,draw,0,4127124.0,20230324,882729.0,Friendlies,Japan,Japan,1.0,Uruguay,Uruguay,1.0,FT,2023-03-24T10:35:00.000Z,1.08,False,matched
2023-03-24,South Korea,Colombia,2,2,Friendly,Ulsan,South Korea,False,draw,0,4118861.0,20230324,882729.0,Friendlies,South Korea,South Korea,2.0,Colombia,Colombia,2.0,FT,2023-03-24T11:20:00.000Z,1.08,False,matched
2023-03-24,Saudi Arabia,Venezuela,1,2,Friendly,Jeddah,Saudi Arabia,False,away_win,-1,4132636.0,20230325,882729.0,Friendlies,Saudi Arabia,Saudi Arabia,1.0,Venezuela,Venezuela,2.0,FT,2023-03-24T19:00:00.000Z,1.08,False,matched
2023-03-24,Uzbekistan,Bolivia,1,0,Friendly,Jeddah,Saudi Arabia,True,home_win,1,4143138.0,20230325,882729.0,Friendlies,Uzbekistan,Uzbekistan,1.0,Bolivia,Bolivia,0.0,FT,2023-03-24T18:00:00.000Z,1.08,False,matched
2023-03-24,Cape Verde,Eswatini,0,0,African Cup of Nations qualification,Praia,Cape Verde,False,draw,0,3876815.0,20230325,878889.0,Africa Cup of Nations Qualification Grp. B,Cape Verde,Cape Verde,0.0,Eswatini,Eswatini,0.0,FT,2023-03-24T16:00:00.000Z,1.08,False,matched
2023-03-24,Egypt,Malawi,2,0,African Cup of Nations qualification,Cairo,Egypt,False,home_win,2,3876829.0,20230325,878891.0,Africa Cup of Nations Qualification Grp. D,Egypt,Egypt,2.0,Malawi,Malawi,0.0,FT,2023-03-24T19:00:00.000Z,1.08,False,matched
2023-03-24,Ivory Coast,Comoros,3,1,African Cup of Nations qualification,Bouaké,Ivory Coast,False,home_win,2,3876873.0,20230325,878895.0,Africa Cup of Nations Qualification Grp. H,Ivory Coast,Ivory Coast,3.0,Comoros,Comoros,1.0,FT,2023-03-24T16:00:00.000Z,1.08,False,matched
2023-03-24,DR Congo,Mauritania,3,1,African Cup of Nations qualification,Douala,Cameroon,True,home_win,2,3876871.0,20230324,878896.0,Africa Cup of Nations Qualification Grp. I,DR Congo,DR Congo,3.0,Mauritania,Mauritania,1.0,FT,2023-03-24T13:00:00.000Z,1.08,False,matched
2023-03-24,Tunisia,Libya,3,0,African Cup of Nations qualification,Radès,Tunisia,False,home_win,3,3876867.0,20230325,878897.0,Africa Cup of Nations Qualification Grp. J,Tunisia,Tunisia,3.0,Libya,Libya,0.0,FT,2023-03-24T20:30:00.000Z,1.08,False,matched
2023-03-24,South Africa,Liberia,2,2,African Cup of Nations qualification,Johannesburg,South Africa,False,draw,0,3876884.0,20230325,878898.0,Africa Cup of Nations Qualification Grp. K,South Africa,South Africa,2.0,Liberia,Liberia,2.0,FT,2023-03-24T16:00:00.000Z,1.08,False,matched
2023-03-24,Senegal,Mozambique,5,1,African Cup of Nations qualification,Diamniadio,Senegal,False,home_win,4,3876894.0,20230325,878899.0,Africa Cup of Nations Qualification Grp. L,Senegal,Senegal,5.0,Mozambique,Mozambique,1.0,FT,2023-03-24T19:00:00.000Z,1.08,False,matched
2023-03-24,France,Netherlands,4,0,UEFA Euro qualification,Paris,France,False,home_win,4,4044666.0,20230325,881523.0,EURO Qualification Grp. B,France,France,4.0,Netherlands,Netherlands,0.0,FT,2023-03-24T19:45:00.000Z,1.08,False,matched
2023-03-24,Czech Republic,Poland,3,1,UEFA Euro qualification,Prague,Czech Republic,False,home_win,2,4044718.0,20230325,881526.0,EURO Qualification Grp. E,Czechia,Czechia,3.0,Poland,Poland,1.0,FT,2023-03-24T19:45:00.000Z,1.08,False,matched
2023-03-24,Austria,Azerbaijan,4,1,UEFA Euro qualification,Pasching,Austria,False,home_win,3,4044759.0,20230325,881527.0,EURO Qualification Grp. F,Austria,Austria,4.0,Azerbaijan,Azerbaijan,1.0,FT,2023-03-24T19:45:00.000Z,1.08,False,matched
2023-03-24,Sweden,Belgium,0,3,UEFA Euro qualification,Stockholm,Sweden,False,away_win,-3,4044758.0,20230325,881527.0,EURO Qualification Grp. F,Sweden,Sweden,0.0,Belgium,Belgium,3.0,FT,2023-03-24T19:45:00.000Z,1.08,False,matched
2023-03-24,Grenada,United States,1,7,CONCACAF Nations League,St. George's,Grenada,False,away_win,-6,3859879.0,20230325,878606.0,CONCACAF Nations League A Grp. 4,Grenada,Grenada,1.0,USA,USA,7.0,FT,2023-03-25T00:00:00.000Z,1.08,False,matched
2023-03-25,Germany,Peru,2,0,Friendly,Mainz,Germany,False,home_win,2,4111681.0,20230326,882729.0,Friendlies,Germany,Germany,2.0,Peru,Peru,0.0,FT,2023-03-25T19:45:00.000Z,1.08,False,matched
2023-03-25,Morocco,Brazil,2,1,Friendly,Tangier,Morocco,False,home_win,1,4123223.0,20230326,882729.0,Friendlies,Morocco,Morocco,2.0,Brazil,Brazil,1.0,FT,2023-03-25T22:05:00.000Z,1.08,False,matched
2023-03-25,Scotland,Cyprus,3,0,UEFA Euro qualification,Glasgow,Scotland,False,home_win,3,4044557.0,20230325,881522.0,EURO Qualification Grp. A,Scotland,Scotland,3.0,Cyprus,Cyprus,0.0,FT,2023-03-25T14:00:00.000Z,1.08,False,matched
2023-03-25,Spain,Norway,3,0,UEFA Euro qualification,Málaga,Spain,False,home_win,3,4044565.0,20230326,881522.0,EURO Qualification Grp. A,Spain,Spain,3.0,Norway,Norway,0.0,FT,2023-03-25T19:45:00.000Z,1.08,False,matched
2023-03-25,Croatia,Wales,1,1,UEFA Euro qualification,Split,Croatia,False,draw,0,4044699.0,20230326,881525.0,EURO Qualification Grp. D,Croatia,Croatia,1.0,Wales,Wales,1.0,FT,2023-03-25T19:50:00.000Z,1.08,False,matched
2023-03-25,Armenia,Turkey,1,2,UEFA Euro qualification,Yerevan,Armenia,False,away_win,-1,4044698.0,20230326,881525.0,EURO Qualification Grp. D,Armenia,Armenia,1.0,Turkiye,Turkiye,2.0,FT,2023-03-25T17:00:00.000Z,1.08,False,matched
2023-03-25,Belarus,Switzerland,0,5,UEFA Euro qualification,Novi Sad,Serbia,True,away_win,-5,4044634.0,20230326,881530.0,EURO Qualification Grp. I,Belarus,Belarus,0.0,Switzerland,Switzerland,5.0,FT,2023-03-25T17:00:00.000Z,1.08,False,matched
2023-03-25,Curaçao,Canada,0,2,CONCACAF Nations League,Willemstad,Curaçao,False,away_win,-2,3859904.0,20230326,878605.0,CONCACAF Nations League A Grp. 3,Curacao,Curacao,0.0,Canada,Canada,2.0,FT,2023-03-26T01:00:00.000Z,1.08,False,matched
2023-03-25,Montserrat,Haiti,0,4,CONCACAF Nations League,Lookout,Montserrat,False,away_win,-4,3859912.0,20230326,878608.0,CONCACAF Nations League B Grp. 2,Montserrat,Montserrat,0.0,Haiti,Haiti,4.0,FT,2023-03-25T21:00:00.000Z,1.08,False,matched
2023-03-26,New Zealand,China,2,1,Friendly,Wellington,New Zealand,False,home_win,1,4115350.0,20230326,882729.0,Friendlies,New Zealand,New Zealand,2.0,China,China,1.0,FT,2023-03-26T03:00:00.000Z,1.08,False,matched
2023-03-26,Russia,Iraq,2,0,Friendly,Saint Petersburg,Russia,False,home_win,2,4136696.0,20230327,882729.0,Friendlies,Russia,Russia,2.0,Iraq,Iraq,0.0,FT,2023-03-26T15:05:00.000Z,1.08,False,matched
2023-03-26,England,Ukraine,2,0,UEFA Euro qualification,London,England,False,home_win,2,4044680.0,20230327,881524.0,EURO Qualification Grp. C,England,England,2.0,Ukraine,Ukraine,0.0,FT,2023-03-26T16:00:00.000Z,1.08,False,matched
2023-03-26,Luxembourg,Portugal,0,6,UEFA Euro qualification,Luxembourg,Luxembourg,False,away_win,-6,4044582.0,20230327,881531.0,EURO Qualification Grp. J,Luxembourg,Luxembourg,0.0,Portugal,Portugal,6.0,FT,2023-03-26T18:45:00.000Z,1.08,False,matched
2023-03-26,Slovakia,Bosnia and Herzegovina,2,0,UEFA Euro qualification,Bratislava,Slovakia,False,home_win,2,4044581.0,20230327,881531.0,EURO Qualification Grp. J,Slovakia,Slovakia,2.0,Bosnia and Herzegovina,Bosnia and Herzegovina,0.0,FT,2023-03-26T18:45:00.000Z,1.08,False,matched
2023-03-26,Mexico,Jamaica,2,2,CONCACAF Nations League,Mexico City,Mexico,False,draw,0,3859899.0,20230327,878603.0,CONCACAF Nations League A Grp. 1,Mexico,Mexico,2.0,Jamaica,Jamaica,2.0,FT,2023-03-27T00:00:00.000Z,1.08,False,matched
2023-03-27,Chile,Paraguay,3,2,Friendly,Santiago,Chile,False,home_win,1,4132638.0,20230328,882729.0,Friendlies,Chile,Chile,3.0,Paraguay,Paraguay,2.0,FT,2023-03-28T00:40:00.000Z,1.08,False,matched
2023-03-27,Angola,Ghana,1,1,African Cup of Nations qualification,Luanda,Angola,False,draw,0,3876853.0,20230328,878892.0,Africa Cup of Nations Qualification Grp. E,Angola,Angola,1.0,Ghana,Ghana,1.0,FT,2023-03-27T16:00:00.000Z,1.08,False,matched
2023-03-27,Niger,Algeria,0,1,African Cup of Nations qualification,Radès,Tunisia,True,away_win,-1,3876837.0,20230328,878893.0,Africa Cup of Nations Qualification Grp. F,Niger,Niger,0.0,Algeria,Algeria,1.0,FT,2023-03-27T16:00:00.000Z,1.08,False,matched
2023-03-27,Republic of Ireland,France,0,1,UEFA Euro qualification,Dublin,Republic of Ireland,False,away_win,-1,4044668.0,20230328,881523.0,EURO Qualification Grp. B,Ireland,Ireland,0.0,France,France,1.0,FT,2023-03-27T18:45:00.000Z,1.04,False,matched
2023-03-27,Netherlands,Gibraltar,3,0,UEFA Euro qualification,Rotterdam,Netherlands,False,home_win,3,4044667.0,20230328,881523.0,EURO Qualification Grp. B,Netherlands,Netherlands,3.0,Gibraltar,Gibraltar,0.0,FT,2023-03-27T18:45:00.000Z,1.08,False,matched
2023-03-27,Moldova,Czech Republic,0,0,UEFA Euro qualification,Chișinău,Moldova,False,draw,0,4044721.0,20230328,881526.0,EURO Qualification Grp. E,Moldova,Moldova,0.0,Czechia,Czechia,0.0,FT,2023-03-27T18:45:00.000Z,1.08,False,matched
2023-03-27,Austria,Estonia,2,1,UEFA Euro qualification,Pasching,Austria,False,home_win,1,4044761.0,20230328,881527.0,EURO Qualification Grp. F,Austria,Austria,2.0,Estonia,Estonia,1.0,FT,2023-03-27T18:45:00.000Z,1.08,False,matched
2023-03-27,Sweden,Azerbaijan,5,0,UEFA Euro qualification,Stockholm,Sweden,False,home_win,5,4044760.0,20230328,881527.0,EURO Qualification Grp. F,Sweden,Sweden,5.0,Azerbaijan,Azerbaijan,0.0,FT,2023-03-27T18:45:00.000Z,1.08,False,matched
2023-03-27,United States,El Salvador,1,0,CONCACAF Nations League,Orlando,United States,False,home_win,1,3859880.0,20230328,878606.0,CONCACAF Nations League A Grp. 4,USA,USA,1.0,El Salvador,El Salvador,0.0,FT,2023-03-27T23:35:00.000Z,1.08,False,matched
2023-03-28,Argentina,Curaçao,7,0,Friendly,Santiago del Estero,Argentina,False,home_win,7,4132095.0,20230329,882729.0,Friendlies,Argentina,Argentina,7.0,Curacao,Curacao,0.0,FT,2023-03-28T23:30:00.000Z,1.08,False,matched
2023-03-28,Australia,Ecuador,1,2,Friendly,Melbourne,Australia,False,away_win,-1,4132640.0,20230328,882729.0,Friendlies,Australia,Australia,1.0,Ecuador,Ecuador,2.0,FT,2023-03-28T08:35:00.000Z,1.08,False,matched
2023-03-28,Germany,Belgium,2,3,Friendly,Cologne,Germany,False,away_win,-1,4111682.0,20230329,882729.0,Friendlies,Germany,Germany,2.0,Belgium,Belgium,3.0,FT,2023-03-28T18:45:00.000Z,1.08,False,matched
2023-03-28,Iran,Kenya,2,1,Friendly,Tehran,Iran,False,home_win,1,4141300.0,20230329,882729.0,Friendlies,Iran,Iran,2.0,Kenya,Kenya,1.0,FT,2023-03-28T17:00:00.000Z,1.08,False,matched
2023-03-28,Japan,Colombia,1,2,Friendly,Osaka,Japan,False,away_win,-1,4118862.0,20230328,882729.0,Friendlies,Japan,Japan,1.0,Colombia,Colombia,2.0,FT,2023-03-28T10:20:00.000Z,1.08,False,matched
2023-03-28,Jordan,Philippines,4,0,Friendly,Al Wakrah,Qatar,True,home_win,4,,,,,,,,,,,,,,,not_matched
2023-03-28,South Korea,Uruguay,1,2,Friendly,Seoul,South Korea,False,away_win,-1,4122920.0,20230328,882729.0,Friendlies,South Korea,South Korea,1.0,Uruguay,Uruguay,2.0,FT,2023-03-28T11:00:00.000Z,1.08,False,matched
2023-03-28,Morocco,Peru,0,0,Friendly,Madrid,Spain,True,draw,0,4115351.0,20230329,882729.0,Friendlies,Morocco,Morocco,0.0,Peru,Peru,0.0,FT,2023-03-28T19:30:00.000Z,1.08,False,matched
2023-03-28,Saudi Arabia,Bolivia,1,2,Friendly,Jeddah,Saudi Arabia,False,away_win,-1,4132637.0,20230329,882729.0,Friendlies,Saudi Arabia,Saudi Arabia,1.0,Bolivia,Bolivia,2.0,FT,2023-03-28T19:00:00.000Z,1.08,False,matched
2023-03-28,Uzbekistan,Venezuela,1,1,Friendly,Jeddah,Saudi Arabia,True,draw,0,4143139.0,20230329,882729.0,Friendlies,Uzbekistan,Uzbekistan,1.0,Venezuela,Venezuela,1.0,FT,2023-03-28T18:00:00.000Z,1.08,False,matched
2023-03-28,Eswatini,Cape Verde,0,1,African Cup of Nations qualification,Mbombela,South Africa,True,away_win,-1,3876818.0,20230328,878889.0,Africa Cup of Nations Qualification Grp. B,Eswatini,Eswatini,0.0,Cape Verde,Cape Verde,1.0,FT,2023-03-28T13:00:00.000Z,1.08,False,matched
2023-03-28,Malawi,Egypt,0,4,African Cup of Nations qualification,Lilongwe,Malawi,False,away_win,-4,3876826.0,20230328,878891.0,Africa Cup of Nations Qualification Grp. D,Malawi,Malawi,0.0,Egypt,Egypt,4.0,FT,2023-03-28T13:00:00.000Z,1.08,False,matched
2023-03-28,Comoros,Ivory Coast,0,2,African Cup of Nations qualification,Moroni,Comoros,False,away_win,-2,3876876.0,20230329,878895.0,Africa Cup of Nations Qualification Grp. H,Comoros,Comoros,0.0,Ivory Coast,Ivory Coast,2.0,FT,2023-03-28T19:00:00.000Z,1.08,False,matched
2023-03-28,Mauritania,DR Congo,1,1,African Cup of Nations qualification,Nouakchott,Mauritania,False,draw,0,3876862.0,20230329,878896.0,Africa Cup of Nations Qualification Grp. I,Mauritania,Mauritania,1.0,DR Congo,DR Congo,1.0,FT,2023-03-28T22:00:00.000Z,1.08,False,matched
2023-03-28,Libya,Tunisia,0,1,African Cup of Nations qualification,Benghazi,Libya,False,away_win,-1,3876890.0,20230329,878897.0,Africa Cup of Nations Qualification Grp. J,Libya,Libya,0.0,Tunisia,Tunisia,1.0,FT,2023-03-28T20:00:00.000Z,1.08,False,matched
2023-03-28,Liberia,South Africa,1,2,African Cup of Nations qualification,Monrovia,Liberia,False,away_win,-1,3876881.0,20230329,878898.0,Africa Cup of Nations Qualification Grp. K,Liberia,Liberia,1.0,South Africa,South Africa,2.0,FT,2023-03-28T16:00:00.000Z,1.08,False,matched
2023-03-28,Mozambique,Senegal,0,1,African Cup of Nations qualification,Maputo,Mozambique,False,away_win,-1,3876897.0,20230329,878899.0,Africa Cup of Nations Qualification Grp. L,Mozambique,Mozambique,0.0,Senegal,Senegal,1.0,FT,2023-03-28T16:00:00.000Z,1.08,False,matched
2023-03-28,Scotland,Spain,2,0,UEFA Euro qualification,Glasgow,Scotland,False,home_win,2,4044558.0,20230329,881522.0,EURO Qualification Grp. A,Scotland,Scotland,2.0,Spain,Spain,0.0,FT,2023-03-28T18:45:00.000Z,1.08,False,matched
2023-03-28,Georgia,Norway,1,1,UEFA Euro qualification,Batumi,Georgia,False,draw,0,4044571.0,20230329,881522.0,EURO Qualification Grp. A,Georgia,Georgia,1.0,Norway,Norway,1.0,FT,2023-03-28T16:00:00.000Z,1.08,False,matched
2023-03-28,Turkey,Croatia,0,2,UEFA Euro qualification,Bursa,Turkey,False,away_win,-2,4044700.0,20230329,881525.0,EURO Qualification Grp. D,Türkiye,Türkiye,0.0,Croatia,Croatia,2.0,FT,2023-03-28T18:45:00.000Z,1.08,False,matched
2023-03-28,Switzerland,Israel,3,0,UEFA Euro qualification,Geneva,Switzerland,False,home_win,3,4044639.0,20230329,881530.0,EURO Qualification Grp. I,Switzerland,Switzerland,3.0,Israel,Israel,0.0,FT,2023-03-28T18:45:00.000Z,1.08,False,matched
2023-03-28,Costa Rica,Panama,0,1,CONCACAF Nations League,San José,Costa Rica,False,away_win,-1,3859909.0,20230329,878604.0,CONCACAF Nations League A Grp. 2,Costa Rica,Costa Rica,0.0,Panama,Panama,1.0,FT,2023-03-29T02:00:00.000Z,1.08,False,matched
2023-03-28,Canada,Honduras,4,1,CONCACAF Nations League,Toronto,Canada,False,home_win,3,3859893.0,20230329,878605.0,CONCACAF Nations League A Grp. 3,Canada,Canada,4.0,Honduras,Honduras,1.0,FT,2023-03-29T00:00:00.000Z,1.08,False,matched
2023-03-28,Haiti,Bermuda,3,1,CONCACAF Nations League,San Cristóbal,Dominican Republic,True,home_win,2,3859922.0,20230329,878608.0,CONCACAF Nations League B Grp. 2,Haiti,Haiti,3.0,Bermuda,Bermuda,1.0,FT,2023-03-28T22:00:00.000Z,1.08,False,matched
2023-04-19,United States,Mexico,1,1,Friendly,Glendale,United States,False,draw,0,4140349.0,20230420,882729.0,Friendlies,USA,USA,1.0,Mexico,Mexico,1.0,FT,2023-04-20T02:20:00.000Z,1.08,False,matched
